               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.033288,            0.014715,           0.0015614,             0.94599,             0.90634,             0.90665,             0.44547,            0.034162,            0.014521,           0.0012247,             0.00307,             0.00307,             0.00307
                  37,            0.033609,            0.013789,           0.0013613,              0.9556,             0.90634,             0.91327,             0.46408,            0.032924,            0.014348,           0.0011552,            0.002872,            0.002872,            0.002872
                  38,            0.032658,            0.014048,           0.0013578,             0.92873,             0.92837,             0.90496,             0.46431,            0.033367,            0.014423,           0.0011081,            0.002674,            0.002674,            0.002674
                  39,            0.032748,            0.014578,           0.0014333,             0.93976,             0.92011,             0.90132,              0.4621,            0.032929,            0.014397,           0.0011242,            0.002476,            0.002476,            0.002476
                  40,            0.032617,            0.013973,           0.0012893,             0.94577,             0.92837,             0.91497,             0.45944,            0.033541,            0.014266,            0.001091,            0.002278,            0.002278,            0.002278
                  41,             0.03171,            0.013391,           0.0012805,             0.94719,             0.92287,             0.91533,             0.46784,            0.032822,            0.014252,           0.0010703,             0.00208,             0.00208,             0.00208
                  42,            0.031196,            0.013871,           0.0011444,             0.95485,             0.90747,             0.90911,             0.46847,            0.032573,            0.014229,           0.0010557,            0.001882,            0.001882,            0.001882
                  43,            0.031893,            0.014021,             0.00126,             0.94258,             0.92562,             0.91437,             0.46868,            0.032501,            0.014174,           0.0010428,            0.001684,            0.001684,            0.001684
                  44,             0.03109,             0.01409,            0.001154,             0.93663,             0.92287,             0.90743,             0.45878,            0.032613,            0.014225,           0.0010157,            0.001486,            0.001486,            0.001486
                  45,            0.031164,            0.014217,            0.001176,             0.94093,             0.91847,             0.90937,               0.468,            0.032557,            0.014255,           0.0010045,            0.001288,            0.001288,            0.001288
                  46,            0.031003,             0.01392,           0.0013124,             0.94426,             0.92689,             0.91451,             0.46803,            0.032469,            0.014191,           0.0009885,             0.00109,             0.00109,             0.00109
                  47,            0.030524,            0.014257,           0.0011623,             0.94086,             0.92562,             0.91428,             0.47139,            0.032373,            0.014111,          0.00096298,            0.000892,            0.000892,            0.000892
                  48,            0.031095,            0.013484,            0.001137,              0.9537,             0.91258,             0.91483,             0.47671,            0.032179,            0.014128,          0.00095952,            0.000694,            0.000694,            0.000694
                  49,            0.030395,            0.013643,           0.0010785,             0.93844,              0.9219,             0.91134,             0.47473,            0.032134,             0.01413,          0.00095659,            0.000496,            0.000496,            0.000496
